day,hour,weather,num_fatalities
Sunday,0:00am-0:59am,Clear,211
Sunday,0:00am-0:59am,Rain,17
Sunday,0:00am-0:59am,Sleet or Hail,1
Sunday,0:00am-0:59am,Snow,2
Sunday,0:00am-0:59am,"Fog, Smog, Smoke",5
Sunday,0:00am-0:59am,Severe Crosswinds,0
Sunday,0:00am-0:59am,Other,0
Sunday,0:00am-0:59am,Cloudy,46
Sunday,0:00am-0:59am,Blowing Snow,0
Sunday,0:00am-0:59am,Freezing Rain or Drizzle,0
Sunday,1:00am-1:59am,Clear,237
Sunday,1:00am-1:59am,Rain,14
Sunday,1:00am-1:59am,Sleet or Hail,1
Sunday,1:00am-1:59am,Snow,0
Sunday,1:00am-1:59am,"Fog, Smog, Smoke",2
Sunday,1:00am-1:59am,Severe Crosswinds,0
Sunday,1:00am-1:59am,Other,0
Sunday,1:00am-1:59am,Cloudy,47
Sunday,1:00am-1:59am,Blowing Snow,0
Sunday,1:00am-1:59am,Freezing Rain or Drizzle,0
Sunday,2:00am-2:59am,Clear,285
Sunday,2:00am-2:59am,Rain,25
Sunday,2:00am-2:59am,Sleet or Hail,1
Sunday,2:00am-2:59am,Snow,4
Sunday,2:00am-2:59am,"Fog, Smog, Smoke",5
Sunday,2:00am-2:59am,Severe Crosswinds,0
Sunday,2:00am-2:59am,Other,0
Sunday,2:00am-2:59am,Cloudy,49
Sunday,2:00am-2:59am,Blowing Snow,0
Sunday,2:00am-2:59am,Freezing Rain or Drizzle,0
Sunday,3:00am-3:59am,Clear,205
Sunday,3:00am-3:59am,Rain,12
Sunday,3:00am-3:59am,Sleet or Hail,1
Sunday,3:00am-3:59am,Snow,2
Sunday,3:00am-3:59am,"Fog, Smog, Smoke",5
Sunday,3:00am-3:59am,Severe Crosswinds,0
Sunday,3:00am-3:59am,Other,1
Sunday,3:00am-3:59am,Cloudy,32
Sunday,3:00am-3:59am,Blowing Snow,0
Sunday,3:00am-3:59am,Freezing Rain or Drizzle,1
Sunday,4:00am-4:59am,Clear,147
Sunday,4:00am-4:59am,Rain,14
Sunday,4:00am-4:59am,Sleet or Hail,0
Sunday,4:00am-4:59am,Snow,0
Sunday,4:00am-4:59am,"Fog, Smog, Smoke",2
Sunday,4:00am-4:59am,Severe Crosswinds,0
Sunday,4:00am-4:59am,Other,0
Sunday,4:00am-4:59am,Cloudy,30
Sunday,4:00am-4:59am,Blowing Snow,0
Sunday,4:00am-4:59am,Freezing Rain or Drizzle,0
Sunday,5:00am-5:59am,Clear,114
Sunday,5:00am-5:59am,Rain,6
Sunday,5:00am-5:59am,Sleet or Hail,0
Sunday,5:00am-5:59am,Snow,1
Sunday,5:00am-5:59am,"Fog, Smog, Smoke",4
Sunday,5:00am-5:59am,Severe Crosswinds,1
Sunday,5:00am-5:59am,Other,1
Sunday,5:00am-5:59am,Cloudy,28
Sunday,5:00am-5:59am,Blowing Snow,0
Sunday,5:00am-5:59am,Freezing Rain or Drizzle,0
Sunday,6:00am-6:59am,Clear,103
Sunday,6:00am-6:59am,Rain,9
Sunday,6:00am-6:59am,Sleet or Hail,0
Sunday,6:00am-6:59am,Snow,1
Sunday,6:00am-6:59am,"Fog, Smog, Smoke",4
Sunday,6:00am-6:59am,Severe Crosswinds,0
Sunday,6:00am-6:59am,Other,0
Sunday,6:00am-6:59am,Cloudy,28
Sunday,6:00am-6:59am,Blowing Snow,0
Sunday,6:00am-6:59am,Freezing Rain or Drizzle,0
Sunday,7:00am-7:59am,Clear,78
Sunday,7:00am-7:59am,Rain,3
Sunday,7:00am-7:59am,Sleet or Hail,0
Sunday,7:00am-7:59am,Snow,1
Sunday,7:00am-7:59am,"Fog, Smog, Smoke",3
Sunday,7:00am-7:59am,Severe Crosswinds,0
Sunday,7:00am-7:59am,Other,0
Sunday,7:00am-7:59am,Cloudy,14
Sunday,7:00am-7:59am,Blowing Snow,0
Sunday,7:00am-7:59am,Freezing Rain or Drizzle,1
Sunday,8:00am-8:59am,Clear,71
Sunday,8:00am-8:59am,Rain,9
Sunday,8:00am-8:59am,Sleet or Hail,0
Sunday,8:00am-8:59am,Snow,3
Sunday,8:00am-8:59am,"Fog, Smog, Smoke",1
Sunday,8:00am-8:59am,Severe Crosswinds,0
Sunday,8:00am-8:59am,Other,0
Sunday,8:00am-8:59am,Cloudy,20
Sunday,8:00am-8:59am,Blowing Snow,0
Sunday,8:00am-8:59am,Freezing Rain or Drizzle,0
Sunday,9:00am-9:59am,Clear,103
Sunday,9:00am-9:59am,Rain,8
Sunday,9:00am-9:59am,Sleet or Hail,1
Sunday,9:00am-9:59am,Snow,2
Sunday,9:00am-9:59am,"Fog, Smog, Smoke",0
Sunday,9:00am-9:59am,Severe Crosswinds,0
Sunday,9:00am-9:59am,Other,0
Sunday,9:00am-9:59am,Cloudy,22
Sunday,9:00am-9:59am,Blowing Snow,0
Sunday,9:00am-9:59am,Freezing Rain or Drizzle,0
Sunday,10:00am-10:59am,Clear,83
Sunday,10:00am-10:59am,Rain,5
Sunday,10:00am-10:59am,Sleet or Hail,2
Sunday,10:00am-10:59am,Snow,0
Sunday,10:00am-10:59am,"Fog, Smog, Smoke",0
Sunday,10:00am-10:59am,Severe Crosswinds,0
Sunday,10:00am-10:59am,Other,0
Sunday,10:00am-10:59am,Cloudy,18
Sunday,10:00am-10:59am,Blowing Snow,1
Sunday,10:00am-10:59am,Freezing Rain or Drizzle,0
Sunday,11:00am-11:59am,Clear,117
Sunday,11:00am-11:59am,Rain,3
Sunday,11:00am-11:59am,Sleet or Hail,0
Sunday,11:00am-11:59am,Snow,4
Sunday,11:00am-11:59am,"Fog, Smog, Smoke",1
Sunday,11:00am-11:59am,Severe Crosswinds,0
Sunday,11:00am-11:59am,Other,0
Sunday,11:00am-11:59am,Cloudy,24
Sunday,11:00am-11:59am,Blowing Snow,0
Sunday,11:00am-11:59am,Freezing Rain or Drizzle,0
Sunday,12:00pm-12:59pm,Clear,125
Sunday,12:00pm-12:59pm,Rain,22
Sunday,12:00pm-12:59pm,Sleet or Hail,0
Sunday,12:00pm-12:59pm,Snow,5
Sunday,12:00pm-12:59pm,"Fog, Smog, Smoke",0
Sunday,12:00pm-12:59pm,Severe Crosswinds,1
Sunday,12:00pm-12:59pm,Other,0
Sunday,12:00pm-12:59pm,Cloudy,28
Sunday,12:00pm-12:59pm,Blowing Snow,0
Sunday,12:00pm-12:59pm,Freezing Rain or Drizzle,0
Sunday,1:00pm-1:59pm,Clear,149
Sunday,1:00pm-1:59pm,Rain,11
Sunday,1:00pm-1:59pm,Sleet or Hail,0
Sunday,1:00pm-1:59pm,Snow,5
Sunday,1:00pm-1:59pm,"Fog, Smog, Smoke",0
Sunday,1:00pm-1:59pm,Severe Crosswinds,0
Sunday,1:00pm-1:59pm,Other,0
Sunday,1:00pm-1:59pm,Cloudy,24
Sunday,1:00pm-1:59pm,Blowing Snow,0
Sunday,1:00pm-1:59pm,Freezing Rain or Drizzle,0
Sunday,2:00pm-2:59pm,Clear,156
Sunday,2:00pm-2:59pm,Rain,9
Sunday,2:00pm-2:59pm,Sleet or Hail,0
Sunday,2:00pm-2:59pm,Snow,1
Sunday,2:00pm-2:59pm,"Fog, Smog, Smoke",1
Sunday,2:00pm-2:59pm,Severe Crosswinds,2
Sunday,2:00pm-2:59pm,Other,0
Sunday,2:00pm-2:59pm,Cloudy,29
Sunday,2:00pm-2:59pm,Blowing Snow,0
Sunday,2:00pm-2:59pm,Freezing Rain or Drizzle,0
Sunday,3:00pm-3:59pm,Clear,184
Sunday,3:00pm-3:59pm,Rain,14
Sunday,3:00pm-3:59pm,Sleet or Hail,0
Sunday,3:00pm-3:59pm,Snow,1
Sunday,3:00pm-3:59pm,"Fog, Smog, Smoke",1
Sunday,3:00pm-3:59pm,Severe Crosswinds,2
Sunday,3:00pm-3:59pm,Other,0
Sunday,3:00pm-3:59pm,Cloudy,34
Sunday,3:00pm-3:59pm,Blowing Snow,0
Sunday,3:00pm-3:59pm,Freezing Rain or Drizzle,0
Sunday,4:00pm-4:59pm,Clear,190
Sunday,4:00pm-4:59pm,Rain,14
Sunday,4:00pm-4:59pm,Sleet or Hail,0
Sunday,4:00pm-4:59pm,Snow,2
Sunday,4:00pm-4:59pm,"Fog, Smog, Smoke",0
Sunday,4:00pm-4:59pm,Severe Crosswinds,0
Sunday,4:00pm-4:59pm,Other,0
Sunday,4:00pm-4:59pm,Cloudy,33
Sunday,4:00pm-4:59pm,Blowing Snow,0
Sunday,4:00pm-4:59pm,Freezing Rain or Drizzle,0
Sunday,5:00pm-5:59pm,Clear,199
Sunday,5:00pm-5:59pm,Rain,20
Sunday,5:00pm-5:59pm,Sleet or Hail,0
Sunday,5:00pm-5:59pm,Snow,3
Sunday,5:00pm-5:59pm,"Fog, Smog, Smoke",1
Sunday,5:00pm-5:59pm,Severe Crosswinds,1
Sunday,5:00pm-5:59pm,Other,0
Sunday,5:00pm-5:59pm,Cloudy,35
Sunday,5:00pm-5:59pm,Blowing Snow,0
Sunday,5:00pm-5:59pm,Freezing Rain or Drizzle,0
Sunday,6:00pm-6:59pm,Clear,210
Sunday,6:00pm-6:59pm,Rain,20
Sunday,6:00pm-6:59pm,Sleet or Hail,0
Sunday,6:00pm-6:59pm,Snow,3
Sunday,6:00pm-6:59pm,"Fog, Smog, Smoke",0
Sunday,6:00pm-6:59pm,Severe Crosswinds,0
Sunday,6:00pm-6:59pm,Other,0
Sunday,6:00pm-6:59pm,Cloudy,38
Sunday,6:00pm-6:59pm,Blowing Snow,1
Sunday,6:00pm-6:59pm,Freezing Rain or Drizzle,0
Sunday,7:00pm-7:59pm,Clear,172
Sunday,7:00pm-7:59pm,Rain,25
Sunday,7:00pm-7:59pm,Sleet or Hail,0
Sunday,7:00pm-7:59pm,Snow,2
Sunday,7:00pm-7:59pm,"Fog, Smog, Smoke",1
Sunday,7:00pm-7:59pm,Severe Crosswinds,0
Sunday,7:00pm-7:59pm,Other,1
Sunday,7:00pm-7:59pm,Cloudy,41
Sunday,7:00pm-7:59pm,Blowing Snow,0
Sunday,7:00pm-7:59pm,Freezing Rain or Drizzle,0
Sunday,8:00pm-8:59pm,Clear,228
Sunday,8:00pm-8:59pm,Rain,13
Sunday,8:00pm-8:59pm,Sleet or Hail,1
Sunday,8:00pm-8:59pm,Snow,2
Sunday,8:00pm-8:59pm,"Fog, Smog, Smoke",5
Sunday,8:00pm-8:59pm,Severe Crosswinds,0
Sunday,8:00pm-8:59pm,Other,0
Sunday,8:00pm-8:59pm,Cloudy,42
Sunday,8:00pm-8:59pm,Blowing Snow,0
Sunday,8:00pm-8:59pm,Freezing Rain or Drizzle,0
Sunday,9:00pm-9:59pm,Clear,198
Sunday,9:00pm-9:59pm,Rain,15
Sunday,9:00pm-9:59pm,Sleet or Hail,1
Sunday,9:00pm-9:59pm,Snow,1
Sunday,9:00pm-9:59pm,"Fog, Smog, Smoke",0
Sunday,9:00pm-9:59pm,Severe Crosswinds,0
Sunday,9:00pm-9:59pm,Other,0
Sunday,9:00pm-9:59pm,Cloudy,35
Sunday,9:00pm-9:59pm,Blowing Snow,0
Sunday,9:00pm-9:59pm,Freezing Rain or Drizzle,0
Sunday,10:00pm-10:59pm,Clear,141
Sunday,10:00pm-10:59pm,Rain,11
Sunday,10:00pm-10:59pm,Sleet or Hail,0
Sunday,10:00pm-10:59pm,Snow,3
Sunday,10:00pm-10:59pm,"Fog, Smog, Smoke",1
Sunday,10:00pm-10:59pm,Severe Crosswinds,0
Sunday,10:00pm-10:59pm,Other,0
Sunday,10:00pm-10:59pm,Cloudy,30
Sunday,10:00pm-10:59pm,Blowing Snow,0
Sunday,10:00pm-10:59pm,Freezing Rain or Drizzle,0
Sunday,11:00pm-11:59pm,Clear,120
Sunday,11:00pm-11:59pm,Rain,7
Sunday,11:00pm-11:59pm,Sleet or Hail,0
Sunday,11:00pm-11:59pm,Snow,0
Sunday,11:00pm-11:59pm,"Fog, Smog, Smoke",1
Sunday,11:00pm-11:59pm,Severe Crosswinds,0
Sunday,11:00pm-11:59pm,Other,0
Sunday,11:00pm-11:59pm,Cloudy,26
Sunday,11:00pm-11:59pm,Blowing Snow,0
Sunday,11:00pm-11:59pm,Freezing Rain or Drizzle,0
Monday,0:00am-0:59am,Clear,966
Monday,0:00am-0:59am,Rain,82
Monday,0:00am-0:59am,Sleet or Hail,1
Monday,0:00am-0:59am,Snow,13
Monday,0:00am-0:59am,"Fog, Smog, Smoke",17
Monday,0:00am-0:59am,Severe Crosswinds,1
Monday,0:00am-0:59am,Other,4
Monday,0:00am-0:59am,Cloudy,184
Monday,0:00am-0:59am,Blowing Snow,0
Monday,0:00am-0:59am,Freezing Rain or Drizzle,0
Monday,1:00am-1:59am,Clear,920
Monday,1:00am-1:59am,Rain,73
Monday,1:00am-1:59am,Sleet or Hail,3
Monday,1:00am-1:59am,Snow,6
Monday,1:00am-1:59am,"Fog, Smog, Smoke",18
Monday,1:00am-1:59am,Severe Crosswinds,1
Monday,1:00am-1:59am,Other,1
Monday,1:00am-1:59am,Cloudy,187
Monday,1:00am-1:59am,Blowing Snow,0
Monday,1:00am-1:59am,Freezing Rain or Drizzle,1
Monday,2:00am-2:59am,Clear,1016
Monday,2:00am-2:59am,Rain,84
Monday,2:00am-2:59am,Sleet or Hail,1
Monday,2:00am-2:59am,Snow,15
Monday,2:00am-2:59am,"Fog, Smog, Smoke",14
Monday,2:00am-2:59am,Severe Crosswinds,0
Monday,2:00am-2:59am,Other,3
Monday,2:00am-2:59am,Cloudy,167
Monday,2:00am-2:59am,Blowing Snow,0
Monday,2:00am-2:59am,Freezing Rain or Drizzle,0
Monday,3:00am-3:59am,Clear,758
Monday,3:00am-3:59am,Rain,50
Monday,3:00am-3:59am,Sleet or Hail,1
Monday,3:00am-3:59am,Snow,6
Monday,3:00am-3:59am,"Fog, Smog, Smoke",23
Monday,3:00am-3:59am,Severe Crosswinds,0
Monday,3:00am-3:59am,Other,1
Monday,3:00am-3:59am,Cloudy,135
Monday,3:00am-3:59am,Blowing Snow,0
Monday,3:00am-3:59am,Freezing Rain or Drizzle,1
Monday,4:00am-4:59am,Clear,590
Monday,4:00am-4:59am,Rain,62
Monday,4:00am-4:59am,Sleet or Hail,0
Monday,4:00am-4:59am,Snow,8
Monday,4:00am-4:59am,"Fog, Smog, Smoke",11
Monday,4:00am-4:59am,Severe Crosswinds,2
Monday,4:00am-4:59am,Other,1
Monday,4:00am-4:59am,Cloudy,119
Monday,4:00am-4:59am,Blowing Snow,2
Monday,4:00am-4:59am,Freezing Rain or Drizzle,0
Monday,5:00am-5:59am,Clear,763
Monday,5:00am-5:59am,Rain,74
Monday,5:00am-5:59am,Sleet or Hail,2
Monday,5:00am-5:59am,Snow,11
Monday,5:00am-5:59am,"Fog, Smog, Smoke",40
Monday,5:00am-5:59am,Severe Crosswinds,5
Monday,5:00am-5:59am,Other,2
Monday,5:00am-5:59am,Cloudy,196
Monday,5:00am-5:59am,Blowing Snow,0
Monday,5:00am-5:59am,Freezing Rain or Drizzle,1
Monday,6:00am-6:59am,Clear,832
Monday,6:00am-6:59am,Rain,77
Monday,6:00am-6:59am,Sleet or Hail,1
Monday,6:00am-6:59am,Snow,14
Monday,6:00am-6:59am,"Fog, Smog, Smoke",59
Monday,6:00am-6:59am,Severe Crosswinds,0
Monday,6:00am-6:59am,Other,1
Monday,6:00am-6:59am,Cloudy,244
Monday,6:00am-6:59am,Blowing Snow,0
Monday,6:00am-6:59am,Freezing Rain or Drizzle,1
Monday,7:00am-7:59am,Clear,765
Monday,7:00am-7:59am,Rain,58
Monday,7:00am-7:59am,Sleet or Hail,4
Monday,7:00am-7:59am,Snow,15
Monday,7:00am-7:59am,"Fog, Smog, Smoke",33
Monday,7:00am-7:59am,Severe Crosswinds,1
Monday,7:00am-7:59am,Other,4
Monday,7:00am-7:59am,Cloudy,196
Monday,7:00am-7:59am,Blowing Snow,0
Monday,7:00am-7:59am,Freezing Rain or Drizzle,2
Monday,8:00am-8:59am,Clear,628
Monday,8:00am-8:59am,Rain,73
Monday,8:00am-8:59am,Sleet or Hail,3
Monday,8:00am-8:59am,Snow,19
Monday,8:00am-8:59am,"Fog, Smog, Smoke",19
Monday,8:00am-8:59am,Severe Crosswinds,1
Monday,8:00am-8:59am,Other,0
Monday,8:00am-8:59am,Cloudy,172
Monday,8:00am-8:59am,Blowing Snow,0
Monday,8:00am-8:59am,Freezing Rain or Drizzle,0
Monday,9:00am-9:59am,Clear,694
Monday,9:00am-9:59am,Rain,65
Monday,9:00am-9:59am,Sleet or Hail,2
Monday,9:00am-9:59am,Snow,14
Monday,9:00am-9:59am,"Fog, Smog, Smoke",5
Monday,9:00am-9:59am,Severe Crosswinds,1
Monday,9:00am-9:59am,Other,0
Monday,9:00am-9:59am,Cloudy,151
Monday,9:00am-9:59am,Blowing Snow,1
Monday,9:00am-9:59am,Freezing Rain or Drizzle,0
Monday,10:00am-10:59am,Clear,721
Monday,10:00am-10:59am,Rain,54
Monday,10:00am-10:59am,Sleet or Hail,2
Monday,10:00am-10:59am,Snow,13
Monday,10:00am-10:59am,"Fog, Smog, Smoke",0
Monday,10:00am-10:59am,Severe Crosswinds,4
Monday,10:00am-10:59am,Other,4
Monday,10:00am-10:59am,Cloudy,169
Monday,10:00am-10:59am,Blowing Snow,2
Monday,10:00am-10:59am,Freezing Rain or Drizzle,0
Monday,11:00am-11:59am,Clear,897
Monday,11:00am-11:59am,Rain,59
Monday,11:00am-11:59am,Sleet or Hail,2
Monday,11:00am-11:59am,Snow,19
Monday,11:00am-11:59am,"Fog, Smog, Smoke",4
Monday,11:00am-11:59am,Severe Crosswinds,0
Monday,11:00am-11:59am,Other,3
Monday,11:00am-11:59am,Cloudy,171
Monday,11:00am-11:59am,Blowing Snow,1
Monday,11:00am-11:59am,Freezing Rain or Drizzle,2
Monday,12:00pm-12:59pm,Clear,932
Monday,12:00pm-12:59pm,Rain,81
Monday,12:00pm-12:59pm,Sleet or Hail,4
Monday,12:00pm-12:59pm,Snow,21
Monday,12:00pm-12:59pm,"Fog, Smog, Smoke",2
Monday,12:00pm-12:59pm,Severe Crosswinds,2
Monday,12:00pm-12:59pm,Other,1
Monday,12:00pm-12:59pm,Cloudy,202
Monday,12:00pm-12:59pm,Blowing Snow,0
Monday,12:00pm-12:59pm,Freezing Rain or Drizzle,0
Monday,1:00pm-1:59pm,Clear,1100
Monday,1:00pm-1:59pm,Rain,75
Monday,1:00pm-1:59pm,Sleet or Hail,5
Monday,1:00pm-1:59pm,Snow,13
Monday,1:00pm-1:59pm,"Fog, Smog, Smoke",0
Monday,1:00pm-1:59pm,Severe Crosswinds,2
Monday,1:00pm-1:59pm,Other,0
Monday,1:00pm-1:59pm,Cloudy,226
Monday,1:00pm-1:59pm,Blowing Snow,1
Monday,1:00pm-1:59pm,Freezing Rain or Drizzle,1
Monday,2:00pm-2:59pm,Clear,1114
Monday,2:00pm-2:59pm,Rain,75
Monday,2:00pm-2:59pm,Sleet or Hail,4
Monday,2:00pm-2:59pm,Snow,19
Monday,2:00pm-2:59pm,"Fog, Smog, Smoke",5
Monday,2:00pm-2:59pm,Severe Crosswinds,5
Monday,2:00pm-2:59pm,Other,1
Monday,2:00pm-2:59pm,Cloudy,264
Monday,2:00pm-2:59pm,Blowing Snow,0
Monday,2:00pm-2:59pm,Freezing Rain or Drizzle,0
Monday,3:00pm-3:59pm,Clear,1253
Monday,3:00pm-3:59pm,Rain,105
Monday,3:00pm-3:59pm,Sleet or Hail,5
Monday,3:00pm-3:59pm,Snow,10
Monday,3:00pm-3:59pm,"Fog, Smog, Smoke",2
Monday,3:00pm-3:59pm,Severe Crosswinds,7
Monday,3:00pm-3:59pm,Other,3
Monday,3:00pm-3:59pm,Cloudy,253
Monday,3:00pm-3:59pm,Blowing Snow,0
Monday,3:00pm-3:59pm,Freezing Rain or Drizzle,0
Monday,4:00pm-4:59pm,Clear,1370
Monday,4:00pm-4:59pm,Rain,95
Monday,4:00pm-4:59pm,Sleet or Hail,1
Monday,4:00pm-4:59pm,Snow,18
Monday,4:00pm-4:59pm,"Fog, Smog, Smoke",2
Monday,4:00pm-4:59pm,Severe Crosswinds,4
Monday,4:00pm-4:59pm,Other,3
Monday,4:00pm-4:59pm,Cloudy,235
Monday,4:00pm-4:59pm,Blowing Snow,0
Monday,4:00pm-4:59pm,Freezing Rain or Drizzle,0
Monday,5:00pm-5:59pm,Clear,1341
Monday,5:00pm-5:59pm,Rain,131
Monday,5:00pm-5:59pm,Sleet or Hail,8
Monday,5:00pm-5:59pm,Snow,15
Monday,5:00pm-5:59pm,"Fog, Smog, Smoke",1
Monday,5:00pm-5:59pm,Severe Crosswinds,3
Monday,5:00pm-5:59pm,Other,0
Monday,5:00pm-5:59pm,Cloudy,295
Monday,5:00pm-5:59pm,Blowing Snow,0
Monday,5:00pm-5:59pm,Freezing Rain or Drizzle,2
Monday,6:00pm-6:59pm,Clear,1429
Monday,6:00pm-6:59pm,Rain,139
Monday,6:00pm-6:59pm,Sleet or Hail,5
Monday,6:00pm-6:59pm,Snow,21
Monday,6:00pm-6:59pm,"Fog, Smog, Smoke",2
Monday,6:00pm-6:59pm,Severe Crosswinds,1
Monday,6:00pm-6:59pm,Other,3
Monday,6:00pm-6:59pm,Cloudy,276
Monday,6:00pm-6:59pm,Blowing Snow,1
Monday,6:00pm-6:59pm,Freezing Rain or Drizzle,1
Monday,7:00pm-7:59pm,Clear,1379
Monday,7:00pm-7:59pm,Rain,121
